base_task,encoder,head,level,metric,train_seed_mean,train_seed_sd,train_seed_min,train_seed_max,n_train_seeds,infer_seed_sd,n_units,n_subjects,train_seed_range,boot_ci_lo,boot_ci_hi,boot_ci_width,legacy_value,legacy_ci_lo,legacy_ci_hi,legacy_z,legacy_inside_seed_range
B2_corrected,pointnet2,proto,subject,f1_class::Rett Syndrome,0.24079365079365078,0.22040112655919286,0.10714285714285714,0.6214285714285714,5,0.1824144882290307,169,169,0.5142857142857143,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Rubinstein-Taybi Syndrome,0.31085714285714283,0.3152004005660634,0.0,0.740952380952381,5,0.053637418245782185,169,169,0.740952380952381,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Smith-Lemli-Opitz,0.19098412698412698,0.13955362016076403,0.0,0.3466666666666667,5,0.10771643105324011,169,169,0.3466666666666667,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Tetrasomy 18p,0.334952380952381,0.09113775120737463,0.21222222222222223,0.42000000000000004,5,0.047180741588663325,169,169,0.2077777777777778,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Trisomy 18,0.4158095238095238,0.1415329100451564,0.3066666666666667,0.6599999999999999,5,0.11026374813431206,169,169,0.3533333333333332,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Turner Syndrome,0.14552380952380953,0.19948959815800582,0.0,0.3771428571428571,5,0.020064318893533377,169,169,0.3771428571428571,,,,,,,,False
B2_corrected,pointnet2,proto,subject,f1_class::Williams Syndrome,0.31791403388791994,0.05893623378529684,0.24189542483660129,0.3863553113553113,5,0.054366954567683715,169,169,0.14445988651871003,,,,,,,,False
B2_corrected,pointnet2,proto,subject,macro_auc,0.8937218627922231,0.0073461403509653975,0.8807045727204894,0.8986374468312907,5,0.004061161359123465,169,169,0.017932874110801245,0.8753989402996067,0.9244414054813344,0.04904246518172761,0.8967464979205587,0.8812962404805081,0.9236124711047592,0.41173119268516745,True
B2_corrected,pointnet2,proto,subject,macro_f1,0.35388943498345116,0.03947619789988492,0.31281088662376977,0.4124837395649569,5,0.014990152810547719,169,169,0.0996728529411871,0.28549402060385753,0.4198497115163257,0.13435569091246818,0.3408834266817659,0.2727777734622372,0.4125865114196054,-0.32946456329633406,True
B2_corrected,pointnet2,proto,subject,top3_accuracy,0.6788165680473373,0.022680559050252073,0.6437869822485208,0.7029585798816568,5,0.013968606149123042,169,169,0.05917159763313595,0.6115917159763314,0.7417810650887573,0.13018934911242586,,,,,False
B2_corrected,pointnet2,proto,subject,top5_accuracy,0.7836686390532545,0.014837801674468567,0.7680473372781066,0.8035502958579881,5,0.016036691556973758,169,169,0.035502958579881505,0.7242366863905325,0.8381065088757396,0.11386982248520705,,,,,False
B2_corrected,pointnet2,softmax,scan,accuracy,0.29507368421052627,0.029438174097297976,0.2631578947368421,0.3389473684210526,5,0.009724279039463912,475,169,0.07578947368421052,0.2457312856866592,0.3448312203003696,0.09909993461371042,0.2909473684210527,0.2418698701851835,0.344103237095363,-0.1401688765014923,True
B2_corrected,pointnet2,softmax,scan,f1_class::4p Deletion Wolff-Hirschhorn Syndrome,0.11133806176772928,0.1421348099172299,0.0,0.35820512820512823,5,0.048097304620812416,475,169,0.35820512820512823,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::5p-,0.33553960154202445,0.10592322596493252,0.23693040242239327,0.48471177944862154,5,0.047998161206747915,475,169,0.24778137702622827,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::Achondroplasia,0.4153467719825913,0.045878364194038346,0.37604417088288056,0.4883730359369959,5,0.042774156019382795,475,169,0.11232886505411532,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::Angelman Syndrome,0.13476610276548354,0.04412499414696359,0.08827705627705626,0.19166666666666665,5,0.0482412835190115,475,169,0.10338961038961039,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::Apert Syndrome,0.0,0.0,0.0,0.0,5,0.0,475,169,0.0,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::Bohring-Opitz Syndrome,0.25039502327737617,0.0728398348622362,0.1424242424242424,0.3278431372549019,5,0.10554695139916434,475,169,0.1854188948306595,,,,,,,,False
B2_corrected,pointnet2,softmax,scan,f1_class::CDKL5,0.0,0.0,0.0,0.0,5,0.0,475,169,0.0,,,,,,,,False
