base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds,n_units,n_subjects
A1_fix,pointnet,softmax,scan,f1_class::Cleft Palate,5,0.0,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Unaffected,1,0.8760422456920511,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Unaffected,2,0.7564018384766907,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Unaffected,3,0.8761799000555247,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Unaffected,4,0.8756875687568757,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,f1_class::Unaffected,5,0.8607021517553793,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_auc,1,0.4687785668227147,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_auc,2,0.5615248556472476,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_auc,3,0.5608259312379318,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_auc,4,0.5674355501350821,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_auc,5,0.4958944599549733,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_f1,1,0.247215689628141,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_f1,2,0.2548198390363682,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_f1,3,0.2423610371900469,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_f1,4,0.2359673467346734,0.0,1,1029,1029
A1_fix,pointnet,softmax,scan,macro_f1,5,0.241491327412529,0.0,1,1029,1029
A1_fix,pointnet2,softmax,scan,accuracy,1,0.6089407191448007,0.005393367123619673,5,1029,1029
A1_fix,pointnet2,softmax,scan,accuracy,2,0.4787172011661808,0.004983821731762135,5,1029,1029
A1_fix,pointnet2,softmax,scan,accuracy,3,0.6040816326530611,0.004042105800405344,5,1029,1029
A1_fix,pointnet2,softmax,scan,accuracy,4,0.7364431486880466,0.0069876299367337275,5,1029,1029
A1_fix,pointnet2,softmax,scan,accuracy,5,0.7376093294460642,0.00659118560070483,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip,1,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip,3,0.08339917163446572,0.01928114426153677,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip,4,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip,5,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,1,0.2708698389343804,0.00665695241499724,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,2,0.22304925404717002,0.003048901643863287,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,3,0.34352324471548307,0.005014987385204123,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,4,0.17197082887001464,0.02135045027209357,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Lip and Palate,5,0.1681335324158016,0.017395339899774,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Palate,1,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Palate,2,0.0733312956766692,0.024352883615583326,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Palate,3,0.08868931797865695,0.02506280811158456,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Palate,4,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Cleft Palate,5,0.0,0.0,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Unaffected,1,0.7531603830827786,0.005008915932444034,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Unaffected,2,0.628657209569188,0.006318999075522668,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Unaffected,3,0.7449771514921232,0.00441303093848278,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Unaffected,4,0.8501858619913844,0.004444807386930644,5,1029,1029
A1_fix,pointnet2,softmax,scan,f1_class::Unaffected,5,0.8518834873493333,0.004743770658063675,5,1029,1029
A1_fix,pointnet2,softmax,scan,macro_auc,1,0.642118117626528,0.006057072893171142,5,1029,1029
A1_fix,pointnet2,softmax,scan,macro_auc,2,0.5761554146788759,0.005773956286568469,5,1029,1029
A1_fix,pointnet2,softmax,scan,macro_auc,3,0.7132131937144341,0.005266441150819946,5,1029,1029
A1_fix,pointnet2,softmax,scan,macro_auc,4,0.5818725637969403,0.021303665185204813,5,1029,1029
